Wall time,Step,Value
1538615889.5365596,0,44.05967712402344
1538615973.1105535,1,11.936120986938477
1538616058.6791124,2,7.6106462478637695
1538616142.509173,3,5.497614860534668
1538616226.146586,4,4.3518829345703125
1538616309.8844457,5,3.6429390907287598
1538616394.0122502,6,3.0336084365844727
1538616477.8209672,7,2.505798101425171
1538616561.7428176,8,2.100219964981079
1538616644.7253544,9,1.7452670335769653
1538616728.9454293,10,1.4468871355056763
1538616812.4147482,11,1.2024288177490234
1538616895.90267,12,0.9962131381034851
1538616980.7661407,13,0.8219651579856873
1538617064.11088,14,0.6580626368522644
1538617147.4687984,15,0.5426437258720398
1538617231.1382298,16,0.4486158788204193
1538617314.777403,17,0.3849121928215027
1538617397.9740646,18,0.32151076197624207
1538617481.6880994,19,0.2872215211391449
